n,Length to reach n,check
1034,125,True
1035,125,True
1036,125,True
1037,125,True
1038,63,True
1039,63,True
1040,32,True
1041,125,True
1042,125,True
1043,125,True
1044,32,True
1045,32,True
1046,125,True
1047,125,True
1048,32,True
1049,63,True
1050,32,True
1051,94,True
1052,81,True
1053,81,True
1054,81,True
1055,169,True
1056,32,True
1057,81,True
1058,32,True
1059,32,True
1060,125,True
1061,125,True
1062,125,True
1063,76,True
1064,32,True
1065,76,True
1066,32,True
1067,63,True
1068,24,True
1069,24,True
1070,24,True
1071,169,True
1072,32,True
1073,24,True
1074,24,True
1075,24,True
1076,32,True
1077,32,True
1078,50,True
1079,50,True
1080,45,True
1081,138,True
1082,45,True
1083,138,True
1084,45,True
1085,45,True
1086,138,True
1087,138,True
1088,19,True
1089,45,True
1090,45,True
1091,45,True
1092,32,True
1093,32,True
1094,32,True
1095,76,True
1096,94,True
1097,138,True
1098,94,True
1099,32,True
1100,94,True
1101,94,True
1102,45,True
1103,45,True
1104,19,True
1105,94,True
1106,138,True
1107,138,True
1108,19,True
1109,19,True
1110,32,True
1111,32,True
1112,45,True
1113,138,True
1114,45,True
1115,94,True
1116,45,True
1117,45,True
1118,89,True
1119,89,True
1120,19,True
1121,45,True
1122,45,True
1123,45,True
1124,45,True
1125,45,True
1126,45,True
1127,138,True
1128,19,True
1129,37,True
1130,19,True
1131,37,True
1132,63,True
1133,63,True
1134,63,True
1135,63,True
1136,107,True
1137,19,True
1138,58,True
1139,58,True
1140,107,True
1141,107,True
1142,32,True
1143,32,True
1144,107,True
1145,151,True
1146,107,True
1147,58,True
1148,45,True
1149,45,True
1150,45,True
1151,58,True
1152,27,True
1153,151,True
1154,32,True
1155,32,True
1156,32,True
1157,32,True
1158,32,True
1159,58,True
1160,120,True
1161,182,True
1162,120,True
1163,151,True
1164,120,True
1165,120,True
1166,32,True
1167,32,True
1168,120,True
1169,58,True
1170,58,True
1171,58,True
1172,120,True
1173,120,True
1174,120,True
1175,120,True
1176,120,True
1177,32,True
1178,120,True
1179,58,True
1180,58,True
1181,58,True
1182,58,True
1183,89,True
1184,27,True
1185,151,True
1186,76,True
1187,76,True
1188,76,True
1189,76,True
1190,76,True
1191,50,True
1192,27,True
1193,102,True
1194,27,True
1195,120,True
1196,120,True
1197,120,True
1198,120,True
1199,71,True
1200,19,True
1201,58,True
1202,58,True
1203,58,True
1204,19,True
1205,19,True
1206,71,True
1207,71,True
1208,19,True
1209,58,True
1210,19,True
1211,71,True
1212,45,True
1213,45,True
1214,45,True
1215,164,True
1216,27,True
1217,133,True
1218,133,True
1219,133,True
1220,40,True
1221,40,True
1222,40,True
1223,133,True
1224,40,True
1225,133,True
1226,40,True
1227,133,True
1228,40,True
1229,40,True
1230,71,True
1231,71,True
1232,27,True
1233,133,True
1234,133,True
1235,133,True
1236,27,True
1237,27,True
1238,133,True
1239,133,True
1240,89,True
1241,40,True
1242,89,True
1243,71,True
1244,89,True
1245,89,True
1246,133,True
1247,133,True
1248,40,True
1249,177,True
1250,27,True
1251,27,True
1252,133,True
1253,133,True
1254,133,True
1255,89,True
1256,40,True
1257,40,True
1258,40,True
1259,84,True
1260,40,True
1261,40,True
1262,40,True
1263,177,True
1264,40,True
1265,40,True
1266,32,True
1267,32,True
1268,40,True
1269,40,True
1270,32,True
1271,32,True
1272,58,True
1273,32,True
1274,58,True
1275,84,True
1276,58,True
1277,58,True
1278,133,True
1279,133,True
1280,14,True
1281,53,True
1282,53,True
1283,53,True
1284,27,True
1285,27,True
1286,27,True
1287,146,True
1288,102,True
1289,146,True
1290,102,True
1291,53,True
1292,102,True
1293,102,True
1294,40,True
1295,40,True
1296,27,True
1297,102,True
1298,146,True
1299,146,True
1300,27,True
1301,27,True
1302,102,True
1303,102,True
1304,27,True
1305,53,True
1306,27,True
1307,177,True
1308,146,True
1309,146,True
1310,146,True
1311,102,True
1312,115,True
1313,27,True
1314,53,True
1315,53,True
1316,53,True
1317,53,True
1318,53,True
1319,146,True
1320,115,True
1321,102,True
1322,115,True
1323,53,True
1324,27,True
1325,27,True
1326,27,True
1327,53,True
1328,115,True
1329,53,True
1330,53,True
1331,53,True
1332,115,True
1333,115,True
1334,146,True
1335,146,True
1336,71,True
1337,45,True
1338,71,True
1339,27,True
1340,71,True
1341,71,True
1342,97,True
1343,97,True
1344,14,True
1345,115,True
1346,66,True
1347,66,True
1348,115,True
1349,115,True
1350,115,True
1351,159,True
1352,53,True
1353,40,True
1354,53,True
1355,115,True
1356,53,True
1357,53,True
1358,66,True
1359,66,True
1360,14,True
1361,53,True
1362,66,True
1363,66,True
1364,14,True
1365,14,True
1366,40,True
1367,40,True
1368,128,True
1369,40,True
1370,128,True
1371,115,True
1372,128,True
1373,128,True
1374,40,True
1375,40,True
1376,35,True
1377,159,True
1378,128,True
1379,128,True
1380,128,True
1381,128,True
1382,128,True
1383,97,True
1384,35,True
1385,66,True
1386,35,True
1387,66,True
1388,128,True
1389,128,True
1390,128,True
1391,115,True
1392,35,True
1393,35,True
1394,128,True
1395,128,True
1396,35,True
1397,35,True
1398,66,True
1399,66,True
1400,84,True
1401,97,True
1402,84,True
1403,128,True
1404,84,True
1405,84,True
1406,172,True
1407,172,True
1408,22,True
1409,84,True
1410,35,True
1411,35,True
1412,128,True
1413,128,True
1414,128,True
1415,35,True
1416,35,True
1417,79,True
1418,35,True
1419,128,True
1420,35,True
1421,35,True
1422,66,True
1423,66,True
1424,35,True
1425,27,True
1426,27,True
1427,27,True
